episode_id,agent_type,start_time,total_steps,total_reward,avg_wait_time,total_throughput
1,fixed_timer,2026-04-28 14:39:37,12,-105.815,14.394036697247707,173
2,fixed_timer,2026-04-28 14:39:37,12,-206.78166666666664,20.71008064516129,170
3,fixed_timer,2026-04-28 14:39:38,12,-162.61166666666665,15.354136253041364,162
4,fixed_timer,2026-04-28 14:39:38,12,-128.70666666666665,16.203030303030303,168
5,fixed_timer,2026-04-28 14:39:39,12,-118.05666666666666,16.201923076923077,171
6,dqn,2026-04-28 14:39:40,12,-147.91833333333332,17.50623188405797,181
7,dqn,2026-04-28 14:39:41,12,-191.68499999999997,18.277651515151515,168
8,dqn,2026-04-28 14:39:43,12,-147.58666666666664,17.09391304347826,166
9,dqn,2026-04-28 14:39:44,12,-113.29833333333335,15.896833333333333,155
10,dqn,2026-04-28 14:39:44,12,-162.29333333333335,17.336885245901637,167
